Tourneys entered:,2.0 T71 Listas Zaragoza,Number of EoS Lists:,8,Number of usages:,Number of armies taking this at least once
"",special item,The Light of Sonnstahl,,0,0
"",special item,Death Warrant,,8,8
"",special item,Hammer of Witches,,1,1
"",special item,Imperial Seal,,3,3
"",special item,Blacksteel,,5,5
"",special item,Witchfire Guard,,0,0
"",special item,Shield of Volund,,0,0
"",special item,Winter Cloak,,0,0
"",special item,Locket of Sunna,,4,4
"",special item,Exemplar’s Flame,,0,0
"",special item,Karadon's Courser,,0,0
"",special item,Mantle of Ullor,,0,0
"",special item,Household Standard,,5,5
"",special item,Banner of Unity,,1,1
"",special item,Marksman’s Pennant,,1,1
"",Marshal,base cost,,18,8
"",Marshal,Battle Standard Bear,,7,7
"",Marshal,Shield,,12,7
"",Marshal,Paired Weapons,,0,0
"",Marshal,Great Weapon,,2,2
"",Marshal,Halberd,,0,0
"",Marshal,Lance,,0,0
"",Marshal,Pistol,,0,0
"",Marshal,Great Tactician,,1,1
"",Marshal,Imperial Prince,,0,0
"",Marshal,Horse,,0,0
"",Marshal,pegasus,,0,0
"",Marshal,Great Griffon,,0,0
"",Marshal,Dragon,,0,0
"",Knight Commander,base cost,,1,1
"",Knight Commander,Shield,,1,1
"",Knight Commander,Calvary Pick,,0,0
"",Knight Commander,Great Weapon,,0,0
"",Knight Commander,Halberd,,0,0
"",Knight Commander,Lance,,0,0
"",Knight Commander,Young Griffon,,1,1
"",Prelate,base cost,,8,8
"",Prelate,Plate Armour,,6,6
"",Prelate,Shield,,8,8
"",Prelate,Great Weapon,,0,0
"",Prelate,Paired Weapons,,0,0
"",Prelate,Horse,,0,0
"",Prelate,Altar of Battle,,1,1
"",Wizard,base cost,,11,8
"",Wizard,Adept,,4,4
"",Wizard,Master,,6,6
"",Wizard,Light Armour,,0,0
"",Wizard,Horse,,0,0
"",Wizard,Pegasus,,0,0
"",Wizard,Great Griffon,,0,0
"",Wizard,Arcane Engine,,0,0
"",Wizard,Foresight,,0,0
"",Wizard,Arcane Shield,,0,0
"",Artificer,base cost,,0,0
"",Artificer,Handgun,,0,0
"",Artificer,Repeater Pistol,,0,0
"",Artificer,Repeater Gun,,0,0
"",Artificer,Long Rifle,,0,0
"",Artificer,Horse,,0,0
"",Inquisitor,base cost,,1,1
"",Inquisitor,Shield,,1,1
"",Inquisitor,Paired Weapons,,0,0
"",Inquisitor,Great Weapon,,0,0
"",Inquisitor,Halberd,,0,0
"",Inquisitor,Crossbow,,0,0
"",Inquisitor,Bracer of Pistols,,0,0
"",Inquisitor,Repeater Pistol,,0,0
"",Inquisitor,Blessed Steel,,1,1
"",Inquisitor,Silver Shots,,0,0
"",Heavy Infantry,small unit (20-30),,8,5
"",Heavy Infantry,large unit (30-50),,6,6
"",Heavy Infantry,Spear,,3,3
"",Heavy Infantry,Halberd,,3,3
"",Light Infantry,small unit (10-13),,5,3
"",Light Infantry,large unit (13-20),,10,5
"",Light Infantry,Handgun,,2,1
"",Light Infantry,Repeater Gun,,0,0
"",Light Infantry,Long Rifle,,0,0
"",Electoral Cavalry,small unit (5-8),,3,3
"",Electoral Cavalry,large unit (8-15),,1,1
"",Electoral Cavalry,Shield,,1,1
"",Electoral Cavalry,Lance,,1,1
"",Electoral Cavalry,Great Weapon,,1,1
"",Electoral Cavalry,Calvary Pick,,0,0
"",Electoral Cavalry,Knight Orders,,1,1
"",State Militia,small unit (10-15),,5,3
"",State Militia,large unit (15-25),,0,0
"",State Militia,Irregulars,,2,2
"",Imperial Guard,small unit (15-23),,0,0
"",Imperial Guard,large unit (23-40),,8,8
"",Imperial Guard,Replace Shield with Great Weapon,,1,1
"",Knights of the Sun Griffon,small unit (3-4),,7,6
"",Knights of the Sun Griffon,large unit (4-6),,0,0
"",Knights of the Sun Griffon,Replace Halberd with Lance,,2,2
"",Imperial Rangers,small unit (5-7),,5,2
"",Imperial Rangers,large unit (7-10),,1,1
"",Reiters,small unit (5-7),,5,4
"",Reiters,large unit (7-10),,0,0
"",Reiters,Bracer of Pistols,,1,1
"",Reiters,Repeater Gun,,0,0
"",Reiters,Repeater Pistol,,0,0
"",Artillery,base cost,,14,8
"",Artillery,Mortar,,2,1
"",Artillery,Volley Gun,,0,0
"",Artillery,Imperial Rocketeer,,8,6
"",Artillery,Cannon,,4,4
"",Flagellants,small unit (15-20),,0,0
"",Flagellants,large unit (20-30),,0,0
"",Steam Tank,base cost,,8,8
